Id,Price
725,156319.32399224158
15856,221194.06202992276
5480,219964.57068142362
15664,317073.09697769606
14275,147720.63508993958
7633,204012.69459011607
13329,177073.01891126463
5502,214383.26705478586
4220,267049.6366415644
11538,173909.13557261953
15975,272485.5180271977
3310,224971.47147065063
9286,152349.67724988185
11260,179899.37827671383
5214,95745.41009359308
11307,181974.6239351215
13543,403227.8809956924
615,167708.71385215188
3495,218514.527867373
2321,221895.9429127471
12046,184712.64539588758
16688,135392.97060338885
12694,222196.82376445277
783,149653.4282845412
8968,167470.438017816
13454,179073.6905212837
12190,263226.5898308137
11160,117223.2040559303
10291,194123.5680502173
891,296366.71422260423
2982,171061.93936241933
3818,231509.03480597216
2449,184116.34746138068
8317,167821.63397524462
4922,178253.3600686233
1257,250454.98626783385
9348,240447.8338905461
4176,182507.10218476984
10704,149337.5252664889
6624,107623.19407173508
5428,198779.40641873004
12749,165765.26580208683
8994,188273.30432024444
11513,137268.33757134873
3047,190368.12139608423
9519,190781.50858926855
12309,210521.28389661014
14081,267474.8767510741
8334,262882.43199716706
6343,189611.70142477885
14788,126936.56412731225
15748,376860.47278154735
153,217233.460600766
14149,188218.18242737572
269,197711.3982329232
5452,148534.30440175039
721,170662.9444592197
5079,333359.9996572615
2831,149898.63532631882
10614,110185.84490127441
10131,303893.64027244115
9996,303059.1860379408
3061,177516.3182774627
11733,324684.7109469547
3726,249252.3362354369
10929,220851.7100904278
9011,180908.72649037064
16182,264486.35384788894
4976,172827.9454406388
9897,260547.5631653942
1872,157990.77901450603
9205,399551.65114015096
5403,382505.06616575463
14074,229181.49661012273
6268,158446.44740047934
14232,157434.5279672369
8532,229708.6187881608
7034,345277.8256024055
6553,428610.74018707057
3133,179955.43790031952
8596,227182.49728057627
12389,269894.28557458
14462,170634.00881468496
8860,307100.7385908843
8377,335180.4220380894
6367,314700.61533290223
6917,223929.41435198847
4216,221816.7333160833
5806,163078.22255884527
5438,188883.66130283943
6632,197546.7795403551
2650,146280.0640636835
5396,206739.88253368073
4044,150934.89162177953
1345,243830.61802141112
856,162335.06005690253
12791,268764.8499025933
12499,217851.99147382597
